,id_venda,data_venda,nome_cliente,cnpj_cliente,uf_cliente,valor_venda
0,0,2022-12-29,Correia Ltda.,48.913.076/0001-34,AC,63240.44
1,1,2022-08-09,Rocha,05.732.849/0001-73,DF,65.24
2,2,2023-01-21,da Rocha,94.763.810/0001-43,TO,42749.12
3,3,2023-01-10,Rezende,98.413.576/0001-85,MG,0.58
4,4,2022-11-22,Ramos e Filhos,28.795.614/0001-26,SC,54.56
5,5,2023-02-14,Barros Moraes S/A,41.329.675/0001-66,AC,5124.58
6,6,2022-08-30,Jesus Costela - ME,94.156.237/0001-00,SE,2.07
7,7,2022-10-04,Nunes da Luz - ME,09.546.732/0001-56,RO,3836.2
8,8,2023-04-06,Jesus,59.618.273/0001-47,SE,891.21
9,9,2023-01-22,Ferreira S.A.,85.936.417/0001-13,PI,95.39
10,10,2023-03-31,Viana,79.206.813/0001-92,PI,97721.2
11,11,2022-10-23,Nogueira,72.403.615/0001-70,MG,9.66
12,12,2023-06-19,Sales Mendes - ME,72.946.513/0001-09,DF,105.71
13,13,2022-10-10,da Costa S.A.,56.472.981/0001-24,BA,8.63
14,14,2022-11-10,da Costa Castro - EI,13.526.807/0001-04,DF,0.07
15,15,2023-04-03,Aragão,87.042.593/0001-37,MS,858.37
16,16,2023-02-26,Carvalho - ME,79.312.408/0001-59,RR,2913.05
17,17,2022-08-25,Ribeiro da Luz S.A.,37.824.506/0001-25,SP,1.06
18,18,2022-11-30,Rodrigues,46.257.189/0001-01,SP,5.81
19,19,2022-10-22,Martins Peixoto - ME,16.209.453/0001-62,PA,412.88
20,20,2023-05-26,Lima,87.391.462/0001-65,TO,97569.77
21,21,2023-06-09,Mendes,25.684.319/0001-04,AP,1607.11
22,22,2022-08-19,da Conceição - EI,34.251.968/0001-02,GO,6126.7
23,23,2023-05-27,Rocha S.A.,59.416.708/0001-70,ES,1203.93
24,24,2023-03-06,Ferreira,40.837.526/0001-45,ES,65817.28
25,25,2023-03-01,da Paz Ltda.,16.902.857/0001-37,TO,3354.52
26,26,2023-01-23,Melo,85.423.107/0001-03,MG,62.32
27,27,2022-12-07,Farias,31.260.974/0001-38,RN,85153.66
28,28,2022-09-16,Souza,53.628.109/0001-34,ES,865.23
29,29,2022-10-03,Almeida,49.530.628/0001-98,RO,85916.29
30,30,2023-01-04,Mendes,04.815.639/0001-86,RR,84271.55
31,31,2022-09-06,Barbosa,21.384.756/0001-51,SC,3190.27
32,32,2022-10-20,Caldeira,59.138.760/0001-02,AC,73.35
33,33,2023-04-07,Santos - ME,91.307.485/0001-16,PE,1.43
34,34,2022-10-11,Aragão Moura - ME,51.024.867/0001-18,BA,38.55
35,35,2022-12-30,Santos,64.130.875/0001-90,SC,184.31
36,36,2022-09-02,Vieira,40.158.679/0001-66,PA,14.85
37,37,2022-09-16,Porto Rezende Ltda.,43.201.958/0001-53,PI,36157.62
38,38,2022-10-17,da Rosa,76.938.015/0001-67,PR,33.23
39,39,2022-10-30,Santos,94.058.163/0001-79,MG,2.87
40,40,2022-09-20,Pinto S/A,37.809.214/0001-13,RN,2351.72
41,41,2023-01-30,da Mata - EI,01.765.483/0001-88,RR,8.97
42,42,2023-04-17,Martins Santos - EI,02.591.746/0001-42,SP,4.92
43,43,2022-12-28,Cardoso,07.849.312/0001-13,AP,2118.08
44,44,2023-05-10,Martins Ltda.,60.394.758/0001-83,AM,68810.83
45,45,2022-10-05,das Neves,80.964.235/0001-32,ES,215.87
46,46,2023-03-12,Gonçalves S/A,94.870.165/0001-68,DF,198.11
47,47,2022-11-27,Novaes S/A,32.157.496/0001-06,MS,598.76
48,48,2022-12-26,Castro das Neves Ltda.,35.462.091/0001-61,SP,5937.42
49,49,2022-10-27,Sales - ME,56.932.701/0001-13,PE,21.14
